1935,692800-38041,682800-38041
1934,692800-38041,682800-38041
2072,692800-38041,682800-38041
1937,692801-38041,682801-38041
1936,692801-38041,682801-38041
2074,692801-38041,682801-38041
1959,692802-38041,682802-38041
1962,692802-38041,682802-38041
1965,692802-38041,682802-38041
1971,692802-38041,682802-38041
1974,692802-38041,682802-38041
1977,692802-38041,682802-38041
1929,692802-38041,682802-38041
1932,692802-38041,682802-38041
1996,692803-38042,682803-38042
1995,692803-38042,682803-38042
2075,692803-38042,682803-38042
2046,692804-38052,682804-38052
1960,692805-38041,682805-38041
1963,692805-38041,682805-38041
1966,692805-38041,682805-38041
1972,692805-38041,682805-38041
1975,692805-38041,682805-38041
1978,692805-38041,682805-38041
1928,692805-38041,682805-38041
1931,692805-38041,682805-38041
447,692806-38043,682806-38043
2043,692807-38051,682807-38051
2045,692808-38051,682808-38051
454,692810-38031,682810-38031
490,692810-38032,682810-38032
491,692811-38032,682811-38032
466,692811-38031,682811-38031
1950,692812-38041,682812-38041
1951,692812-38041,682812-38041
2087,692812-38041,682812-38041
2003,692812-38042,682812-38042
2004,692812-38042,682812-38042
2058,692812-38051,682812-38051
1949,692813-38041,682813-38041
1924,692813-38041,682813-38041
2067,692813-38041,682813-38041
2086,692813-38041,682813-38041
2002,692813-38042,682813-38042
2057,692813-38051,682813-38051
2038,692813-38051,682813-38051
2062,692813-38051,682813-38051
2048,692816-38051,682816-38051
2050,692817-38051,682817-38051
2053,692817-38051,682817-38051
2056,692817-38051,682817-38051
2047,692818-38051,682818-38051
2051,692818-38051,682818-38051
2054,692818-38051,682818-38051
2041,692819-38051,682819-38051
457,692822-38031,682822-38031
469,692822-38031,682822-38031
481,692822-38031,682822-38031
492,692822-38032,682822-38032
1945,692822-38041,682822-38041
1944,692822-38041,682822-38041
2071,692822-38041,682822-38041
1998,692822-38042,682822-38042
1997,692822-38042,682822-38042
2009,692822-38043,682822-38043
2042,692822-38051,682822-38051
458,692824-38031,682824-38031
470,692824-38031,682824-38031
482,692824-38031,682824-38031
493,692824-38032,682824-38032
409,692824-38041,682824-38041
425,692824-38042,682824-38042
446,692824-38043,682824-38043
2063,692824-38051,682824-38051
451,692825-38031,682825-38031
463,692825-38031,682825-38031
475,692825-38031,682825-38031
452,692825-38031,682825-38031
464,692825-38031,682825-38031
476,692825-38031,682825-38031
487,692825-38032,682825-38032
488,692825-38032,682825-38032
1954,692825-38041,682825-38041
1953,692825-38041,682825-38041
2088,692825-38041,682825-38041
1956,692825-38041,682825-38041
1955,692825-38041,682825-38041
2006,692825-38042,682825-38042
2005,692825-38042,682825-38042
2008,692825-38042,682825-38042
2007,692825-38042,682825-38042
2059,692825-38051,682825-38051
450,692827-38031,682827-38031
462,692827-38031,682827-38031
474,692827-38031,682827-38031
453,692827-38031,682827-38031
465,692827-38031,682827-38031
477,692827-38031,682827-38031
486,692827-38032,682827-38032
489,692827-38032,682827-38032
459,692828-38031,682828-38031
471,692828-38031,682828-38031
483,692828-38031,682828-38031
1952,692828-38041,682828-38041
1967,692834-38041,682834-38041
1979,692834-38041,682834-38041
1940,692849-38041,682849-38041
2069,692850-38041,682850-38041
2040,692850-38051,682850-38051
1946,692852-38041,682852-38041
1927,692852-38041,682852-38041
1994,692856-38042,682856-38042
1999,692857-38042,682857-38042
2010,692858-38043,682858-38043
2032,692858-38043,682858-38043
2070,692819-38041,682819-38041
437,692858-38043,682858-38043
2020,692858-38043,682858-38043
1958,692863-38041,682863-38041
1961,692863-38041,682863-38041
1964,692863-38041,682863-38041
1930,692863-38041,682863-38041
1926,692868-38041,682868-38041
455,692871-38031,682871-38031
456,692871-38031,682871-38031
467,692871-38031,682871-38031
468,692871-38031,682871-38031
479,692872-38031,682872-38031
480,692872-38031,682872-38031
478,692876-38031,682876-38031
1941,692876-38041,682876-38041
1737,692880-38041,682880-38041
1739,692880-38042,682880-38042
1993,692880-38042,682880-38042
1740,692880-38043,682880-38043
2013,692880-38043,682880-38043
1948,692882-38041,682882-38041
2001,692882-38042,682882-38042
2012,692882-38043,682882-38043
440,692883-38043,682883-38043
2026,692883-38043,682883-38043
2077,692816-38041,682816-38041
2016,692884-38043,682884-38043
2023,692884-38043,682884-38043
2085,692817-38041,682817-38041
441,692884-38043,682884-38043
2027,692884-38043,682884-38043
2079,692817-38041,682817-38041
2019,692884-38043,682884-38043
2030,692884-38043,682884-38043
2082,692817-38041,682817-38041
2014,692886-38043,682886-38043
2021,692886-38043,682886-38043
2083,692818-38041,682818-38041
438,692886-38043,682886-38043
2024,692886-38043,682886-38043
2076,692818-38041,682818-38041
2017,692886-38043,682886-38043
2028,692886-38043,682886-38043
2080,692818-38041,682818-38041
2049,692887-38051,682887-38051
2052,692887-38051,682887-38051
2055,692887-38051,682887-38051
1970,692888-38041,682888-38041
1973,692888-38041,682888-38041
1976,692888-38041,682888-38041
1933,692888-38041,682888-38041
2015,692888-38043,682888-38043
2022,692888-38043,682888-38043
2084,692887-38041,682887-38041
439,692888-38043,682888-38043
2025,692888-38043,682888-38043
2078,692887-38041,682887-38041
2018,692888-38043,682888-38043
2029,692888-38043,682888-38043
2081,692887-38041,682887-38041
2044,692890-38051,682890-38051
2066,692891-38043,682891-38043
2031,692891-38043,682891-38043
2033,692891-38043,682891-38043
2068,692812-38041,682812-38041
2089,692812-38041,682812-38041
2034,692891-38043,682891-38043
2035,692891-38043,682891-38043
2090,692812-38041,682812-38041
2091,692891-38041,682891-38041
2037,692891-38051,682891-38051
2039,692891-38051,682891-38051
2060,692891-38051,682891-38051
2061,692892-38051,682892-38051
1942,692893-38041,682893-38041
1943,692893-38041,682893-38041
2073,692893-38041,682893-38041
1925,692894-38041,682894-38041
743,692873-38041,682873-38041
744,692876-38041,682876-38041
745,692848-38041,682848-38041
746,692834-38041,682834-38041
747,692832-38041,682832-38041
750,692873-38041,682873-38041
751,692834-38041,682834-38041
752,692832-38041,682832-38041
753,692848-38041,682848-38041
756,692838-38031,682838-38031
757,692823-38031,682823-38031
758,692823-38031,682823-38031
759,692810-38031,682810-38031
760,692871-38031,682871-38031
761,692871-38031,682871-38031
762,692838-38031,682838-38031
763,692828-38031,682828-38031
764,692822-38031,682822-38031
765,692824-38031,682824-38031
768,692838-38031,682838-38031
769,692823-38031,682823-38031
770,692823-38031,682823-38031
771,692838-38031,682838-38031
772,692811-38031,682811-38031
773,692871-38031,682871-38031
774,692871-38031,682871-38031
775,692828-38031,682828-38031
776,692822-38031,682822-38031
777,692824-38031,682824-38031
780,692823-38031,682823-38031
781,692823-38031,682823-38031
782,692823-38031,682823-38031
783,692823-38031,682823-38031
784,692877-38031,682877-38031
785,692872-38031,682872-38031
786,692872-38031,682872-38031
787,692828-38031,682828-38031
788,692822-38031,682822-38031
789,692824-38031,682824-38031
792,692845-38032,682845-38032
793,692823-38032,682823-38032
794,692823-38032,682823-38032
795,692810-38032,682810-38032
796,692810-38032,682810-38032
797,692845-38032,682845-38032
798,692822-38032,682822-38032
799,692824-38032,682824-38032
1769,676004-18011,677004-18011
1784,676004-18011,677004-18011
2265,676004-18011,677004-18011
2286,676004-18011,677004-18011
52,676005-18011,677005-18011
53,676005-18011,677005-18011
1136,676005-18011,677005-18011
90,676005-18012,677005-18012
91,676005-18012,677005-18012
111,676005-18013,677005-18013
1112,676005-18021,677005-18021
123,676005-18031,677005-18031
136,676005-18031,677005-18031
149,676005-18031,677005-18031
939,676005-18031,677005-18031
950,676005-18031,677005-18031
961,676005-18031,677005-18031
1219,676005-18031,677005-18031
1230,676005-18031,677005-18031
1241,676005-18031,677005-18031
1252,676005-18031,677005-18031
1274,676005-18031,677005-18031
1263,676005-18031,677005-18031
161,676005-18032,677005-18032
971,676005-18032,677005-18032
42,676006-18011,677006-18011
32,676006-18011,677006-18011
43,676006-18011,677006-18011
33,676006-18011,677006-18011
1129,676006-18011,677006-18011
1133,676006-18011,677006-18011
70,676006-18012,677006-18012
80,676006-18012,677006-18012
71,676006-18012,677006-18012
81,676006-18012,677006-18012
1105,676006-18021,677006-18021
1109,676006-18021,677006-18021
1212,676006-18031,677006-18031
1215,676006-18031,677006-18031
1223,676006-18031,677006-18031
1226,676006-18031,677006-18031
1234,676006-18031,677006-18031
1237,676006-18031,677006-18031
1256,676006-18031,677006-18031
1259,676006-18031,677006-18031
1799,676007-18011,677007-18011
2307,676007-18011,677007-18011
1086,676007-18011,677007-18011
172,676007-18011,677007-18011
874,676007-18011,677007-18011
929,676007-18011,677007-18011
888,676007-18011,677007-18011
1087,676007-18012,677007-18012
899,676007-18012,677007-18012
112,676007-18013,677007-18013
1489,676007-18013,677007-18013
168,676007-18021,677007-18021
925,676007-18021,677007-18021
125,676007-18031,677007-18031
138,676007-18031,677007-18031
151,676007-18031,677007-18031
940,676007-18031,677007-18031
951,676007-18031,677007-18031
962,676007-18031,677007-18031
1220,676007-18031,677007-18031
1231,676007-18031,677007-18031
1242,676007-18031,677007-18031
1253,676007-18031,677007-18031
1275,676007-18031,677007-18031
1264,676007-18031,677007-18031
163,676007-18032,677007-18032
972,676007-18032,677007-18032
1408,676009-18011,677009-18011
1409,676009-18011,677009-18011
882,676009-18011,677009-18011
887,676009-18011,677009-18011
20,676012-18011,677012-18011
21,676012-18011,677012-18011
1126,676012-18011,677012-18011
1380,676012-18011,677012-18011
1381,676012-18011,677012-18011
1505,676012-18011,677012-18011
22,676013-18011,677013-18011
23,676013-18011,677013-18011
1127,676013-18011,677013-18011
1382,676013-18011,677013-18011
1383,676013-18011,677013-18011
1165,676013-18011,677013-18011
1384,676013-18011,677013-18011
1385,676013-18011,677013-18011
1205,676013-18011,677013-18011
1753,676014-18011,677014-18011
1826,676014-18011,677014-18011
2237,676014-18011,677014-18011
2329,676014-18011,677014-18011
1752,676014-18011,677014-18011
2236,676014-18011,677014-18011
7,676014-18011,677014-18011
1710,676014-18011,677014-18011
877,676014-18011,677014-18011
10,676015-18011,677015-18011
1124,676015-18011,677015-18011
1711,676015-18011,677015-18011
1162,676015-18011,677015-18011
1174,676016-18011,677016-18011
1139,676016-18011,677016-18011
886,676016-18011,677016-18011
1367,676016-18011,677016-18011
1368,676016-18011,677016-18011
103,676016-18013,677016-18013
1467,676016-18013,677016-18013
1758,676018-18011,677018-18011
1762,676018-18011,677018-18011
1766,676018-18011,677018-18011
1773,676018-18011,677018-18011
1777,676018-18011,677018-18011
1781,676018-18011,677018-18011
2248,676018-18011,677018-18011
2254,676018-18011,677018-18011
2260,676018-18011,677018-18011
2269,676018-18011,677018-18011
2275,676018-18011,677018-18011
2281,676018-18011,677018-18011
13,676018-18011,677018-18011
17,676018-18011,677018-18011
1387,676018-18011,677018-18011
1391,676018-18011,677018-18011
2238,676018-18011,677018-18011
2240,676018-18011,677018-18011
8,676019-18011,677019-18011
1708,676019-18011,677019-18011
11,676020-18011,677020-18011
1125,676020-18011,677020-18011
1709,676020-18011,677020-18011
1759,676023-18011,677023-18011
1763,676023-18011,677023-18011
1767,676023-18011,677023-18011
1774,676023-18011,677023-18011
1778,676023-18011,677023-18011
1782,676023-18011,677023-18011
2249,676023-18011,677023-18011
2255,676023-18011,677023-18011
2261,676023-18011,677023-18011
2270,676023-18011,677023-18011
2276,676023-18011,677023-18011
2282,676023-18011,677023-18011
12,676023-18011,677023-18011
1386,676023-18011,677023-18011
2239,676023-18011,677023-18011
16,676023-18011,677023-18011
1390,676023-18011,677023-18011
2241,676023-18011,677023-18011
881,676025-18011,677025-18011
1365,676025-18011,677025-18011
1366,676025-18011,677025-18011
878,676025-18011,677025-18011
28,676025-18011,677025-18011
29,676025-18011,677025-18011
1400,676025-18011,677025-18011
1401,676025-18011,677025-18011
1434,676025-18011,677025-18011
1435,676025-18011,677025-18011
1438,676025-18011,677025-18011
1439,676025-18011,677025-18011
1442,676025-18011,677025-18011
1443,676025-18011,677025-18011
1414,676025-18011,677025-18011
1415,676025-18011,677025-18011
1416,676025-18011,677025-18011
1417,676025-18011,677025-18011
1418,676025-18011,677025-18011
1419,676025-18011,677025-18011
1420,676025-18011,677025-18011
1421,676025-18011,677025-18011
1422,676025-18011,677025-18011
1423,676025-18011,677025-18011
1424,676025-18011,677025-18011
1425,676025-18011,677025-18011
147,676025-18031,677025-18031
959,676025-18031,677025-18031
148,676025-18031,677025-18031
960,676025-18031,677025-18031
1217,676025-18031,677025-18031
1218,676025-18031,677025-18031
1228,676025-18031,677025-18031
1229,676025-18031,677025-18031
1239,676025-18031,677025-18031
1240,676025-18031,677025-18031
1250,676025-18031,677025-18031
1251,676025-18031,677025-18031
1272,676025-18031,677025-18031
1273,676025-18031,677025-18031
1261,676025-18031,677025-18031
1262,676025-18031,677025-18031
158,676027-18032,677027-18032
159,676027-18032,677027-18032
968,676027-18032,677027-18032
969,676027-18032,677027-18032
1277,676027-18032,677027-18032
119,676027-18031,677027-18031
936,676027-18031,677027-18031
133,676028-18031,677028-18031
947,676028-18031,677028-18031
1249,676028-18031,677028-18031
116,676029-18031,677029-18031
129,676029-18031,677029-18031
142,676029-18031,677029-18031
932,676029-18031,677029-18031
943,676029-18031,677029-18031
954,676029-18031,677029-18031
1245,676029-18031,677029-18031
1267,676029-18031,677029-18031
145,676029-18031,677029-18031
132,676029-18031,677029-18031
122,676029-18031,677029-18031
935,676029-18031,677029-18031
946,676029-18031,677029-18031
957,676029-18031,677029-18031
1248,676029-18031,677029-18031
1270,676029-18031,677029-18031
155,676029-18032,677029-18032
965,676029-18032,677029-18032
160,676029-18032,677029-18032
970,676029-18032,677029-18032
1102,676030-18021,677030-18021
1492,676030-18021,677030-18021
134,676031-18031,677031-18031
948,676031-18031,677031-18031
135,676031-18031,677031-18031
949,676031-18031,677031-18031
120,676031-18031,677031-18031
937,676031-18031,677031-18031
121,676031-18031,677031-18031
938,676031-18031,677031-18031
1103,676032-18021,677032-18021
1148,676032-18021,677032-18021
1199,676032-18021,677032-18021
1817,676035-18021,677035-18021
2322,676035-18021,677035-18021
1145,676035-18021,677035-18021
1099,676119-18021,677119-18021
1100,676015-18021,677015-18021
1101,676020-18021,677020-18021
1098,676073-18022,677073-18022
1115,676036-18021,677036-18021
1157,676036-18021,677036-18021
68,676037-18012,677037-18012
69,676037-18012,677037-18012
1137,676037-18012,677037-18012
1450,676037-18012,677037-18012
1451,676037-18012,677037-18012
2330,676037-18012,677037-18012
38,676038-18011,677038-18011
39,676038-18011,677038-18011
1376,676038-18011,677038-18011
1377,676038-18011,677038-18011
1730,676038-18011,677038-18011
1504,676038-18011,677038-18011
1131,676038-18011,677038-18011
1428,676038-18011,677038-18011
1429,676038-18011,677038-18011
1167,676038-18011,677038-18011
1207,676038-18011,677038-18011
1209,676038-18011,677038-18011
76,676038-18012,677038-18012
77,676038-18012,677038-18012
1454,676038-18012,677038-18012
1455,676038-18012,677038-18012
1446,676038-18012,677038-18012
1447,676038-18012,677038-18012
106,676038-18013,677038-18013
1483,676038-18013,677038-18013
1481,676038-18013,677038-18013
1468,676038-18013,677038-18013
1469,676038-18013,677038-18013
113,676039-18013,677039-18013
1490,676039-18013,677039-18013
1787,676040-18011,677040-18011
1790,676040-18011,677040-18011
1791,676040-18011,677040-18011
1794,676040-18011,677040-18011
1795,676040-18011,677040-18011
1798,676040-18011,677040-18011
2289,676040-18011,677040-18011
2292,676040-18011,677040-18011
2295,676040-18011,677040-18011
2298,676040-18011,677040-18011
2301,676040-18011,677040-18011
2304,676040-18011,677040-18011
26,676040-18011,677040-18011
27,676040-18011,677040-18011
1396,676040-18011,677040-18011
1397,676040-18011,677040-18011
1141,676040-18011,677040-18011
1829,676040-18011,677040-18011
