RIAccount,Account,Subaccount,Lawson Account
1959,892900,38041,892900-38041
1962,892900,38041,892900-38041
1965,892900,38041,892900-38041
1971,892900,38041,892900-38041
1974,892900,38041,892900-38041
1977,892900,38041,892900-38041
1929,892900,38041,892900-38041
1932,892900,38041,892900-38041
1960,892900,38041,892900-38041
1963,892900,38041,892900-38041
1966,892900,38041,892900-38041
1972,892900,38041,892900-38041
1975,892900,38041,892900-38041
1978,892900,38041,892900-38041
1928,892900,38041,892900-38041
1931,892900,38041,892900-38041
491,892900,38032,892900-38032
2041,892900,38051,892900-38051
1967,892900,38041,892900-38041
1979,892900,38041,892900-38041
1940,892900,38041,892900-38041
1946,892900,38041,892900-38041
1999,892900,38042,892900-38042
2010,892900,38043,892900-38043
2032,892900,38043,892900-38043
2070,892900,38041,892900-38041
1958,892900,38041,892900-38041
1961,892900,38041,892900-38041
1964,892900,38041,892900-38041
1930,892900,38041,892900-38041
1737,892900,38041,892900-38041
1739,892900,38042,892900-38042
1993,892900,38042,892900-38042
1740,892900,38043,892900-38043
1948,892900,38041,892900-38041
2001,892900,38042,892900-38042
1970,892900,38041,892900-38041
1973,892900,38041,892900-38041
1976,892900,38041,892900-38041
1933,892900,38041,892900-38041
2015,892900,38043,892900-38043
2022,892900,38043,892900-38043
2084,892900,38041,892900-38041
439,892900,38043,892900-38043
2025,892900,38043,892900-38043
2078,892900,38041,892900-38041
2018,892900,38043,892900-38043
2029,892900,38043,892900-38043
2081,892900,38041,892900-38041
2044,892900,38051,892900-38051
2066,892900,38043,892900-38043
2031,892900,38043,892900-38043
2033,892900,38043,892900-38043
2068,892900,38041,892900-38041
2089,892900,38041,892900-38041
2034,892900,38043,892900-38043
2035,892900,38043,892900-38043
2090,892900,38041,892900-38041
2091,892900,38041,892900-38041
2037,892900,38051,892900-38051
2039,892900,38051,892900-38051
2060,892900,38051,892900-38051
2061,892900,38051,892900-38051
1942,892900,38041,892900-38041
1943,892900,38041,892900-38041
2073,892900,38041,892900-38041
1925,892900,38041,892900-38041
1935,892900,38041,892900-38041
1934,892900,38041,892900-38041
2072,892900,38041,892900-38041
1937,892900,38041,892900-38041
1936,892900,38041,892900-38041
2074,892900,38041,892900-38041
1996,892900,38042,892900-38042
1995,892900,38042,892900-38042
2075,892900,38042,892900-38042
2046,892900,38052,892900-38052
447,892900,38043,892900-38043
2043,892900,38051,892900-38051
2045,892900,38051,892900-38051
454,892900,38031,892900-38031
490,892900,38032,892900-38032
466,892900,38031,892900-38031
1950,892900,38041,892900-38041
1951,892900,38041,892900-38041
2087,892900,38041,892900-38041
2003,892900,38042,892900-38042
2004,892900,38042,892900-38042
2058,892900,38051,892900-38051
1949,892900,38041,892900-38041
1924,892900,38041,892900-38041
2067,892900,38041,892900-38041
2086,892900,38041,892900-38041
2002,892900,38042,892900-38042
2057,892900,38051,892900-38051
2038,892900,38051,892900-38051
2062,892900,38051,892900-38051
2048,892900,38051,892900-38051
2050,892900,38051,892900-38051
2053,892900,38051,892900-38051
2056,892900,38051,892900-38051
2047,892900,38051,892900-38051
2051,892900,38051,892900-38051
2054,892900,38051,892900-38051
457,892900,38031,892900-38031
469,892900,38031,892900-38031
481,892900,38031,892900-38031
492,892900,38032,892900-38032
1945,892900,38041,892900-38041
1944,892900,38041,892900-38041
2071,892900,38041,892900-38041
1998,892900,38042,892900-38042
1997,892900,38042,892900-38042
2009,892900,38043,892900-38043
2042,892900,38051,892900-38051
458,892900,38031,892900-38031
470,892900,38031,892900-38031
482,892900,38031,892900-38031
493,892900,38032,892900-38032
409,892900,38041,892900-38041
425,892900,38042,892900-38042
446,892900,38043,892900-38043
2063,892900,38051,892900-38051
451,892900,38031,892900-38031
463,892900,38031,892900-38031
475,892900,38031,892900-38031
452,892900,38031,892900-38031
464,892900,38031,892900-38031
476,892900,38031,892900-38031
487,892900,38032,892900-38032
488,892900,38032,892900-38032
1954,892900,38041,892900-38041
1953,892900,38041,892900-38041
2088,892900,38041,892900-38041
1956,892900,38041,892900-38041
1955,892900,38041,892900-38041
2006,892900,38042,892900-38042
2005,892900,38042,892900-38042
2008,892900,38042,892900-38042
2007,892900,38042,892900-38042
2059,892900,38051,892900-38051
450,892900,38031,892900-38031
462,892900,38031,892900-38031
474,892900,38031,892900-38031
453,892900,38031,892900-38031
465,892900,38031,892900-38031
477,892900,38031,892900-38031
486,892900,38032,892900-38032
489,892900,38032,892900-38032
459,892900,38031,892900-38031
471,892900,38031,892900-38031
483,892900,38031,892900-38031
1952,892900,38041,892900-38041
2069,892900,38041,892900-38041
2040,892900,38051,892900-38051
1927,892900,38041,892900-38041
